ds,y,kc_centavos_lb,trm
1992-05-27,142876.21378525,48.5,660.46
1992-05-28,140992.06285999998,47.5,660.16
1992-05-29,142080.0979455,48.0,660.99
1992-06-01,142806.6304665,48.0,664.37
1992-06-02,140975.77622975,47.0,664.37
1992-06-03,143180.6442495,48.0,666.11
1992-06-04,142791.58393499997,48.0,664.3
1992-06-05,143258.0264115,48.0,666.47
1992-06-08,142804.480962,48.0,664.36
1992-06-09,143137.65415949997,48.0,665.91
1992-06-10,141304.67797599998,47.0,665.92
1992-06-11,140817.1813785,46.5,667.96
1992-06-12,140724.421992,46.5,667.52
1992-06-15,142074.94464625,47.0,669.55
1992-06-16,143384.07556,47.5,671.36
1992-06-17,143392.673578,47.0,675.76
1992-06-18,142454.056613,46.0,680.17
1992-06-19,139248.277334375,44.5,678.25
1992-06-22,139357.8331695,44.0,683.37
1992-06-23,137474.61920775,43.0,683.37
1992-06-24,138824.48047599997,43.0,690.08
1992-06-25,138710.50162199998,42.0,699.09
1992-06-26,139254.16091399998,42.0,701.83
1992-06-29,140331.25557274997,43.0,697.57
1992-06-30,140331.25557274997,43.0,697.57
1992-07-01,141802.922096,44.0,695.36
1992-07-02,141613.2696605,44.0,694.43
1992-07-06,140447.7972975,43.5,693.4
1992-07-07,143876.25697499997,45.0,696.12
1992-07-08,144737.64334562497,45.5,695.65
1992-07-09,145436.72834762497,45.5,699.01
1992-07-10,148360.20603525,46.5,703.74
1992-07-13,145503.927921,44.5,708.72
1992-07-14,148908.99106874998,45.0,720.47
1992-07-15,148636.16934374996,45.0,719.15
1992-07-16,150261.938805,46.0,717.45
1992-07-17,148336.4788125,45.0,717.7
1992-07-20,145830.48725849998,44.0,715.11
1992-07-21,147801.16951875,45.0,715.11
1992-07-22,146933.10039374998,45.0,710.91
1992-07-23,146323.38517499997,45.0,707.96
1992-07-24,143658.233835875,44.5,699.73
1992-07-27,137863.48661799997,41.5,699.68
1992-07-28,139220.43022799995,42.0,701.66
1992-07-29,137331.81494724998,41.0,701.89
1992-07-30,139291.85991599996,42.0,702.02
1992-07-31,136996.10643674998,40.5,705.14
1992-08-03,136487.08723649997,40.5,702.52
1992-08-04,136351.08974025,40.5,701.82
1992-08-05,135772.1289705,40.5,698.84
1992-08-06,134609.21947825,40.25,695.32
1992-08-07,134402.07476093748,40.25,694.25
1992-08-10,132967.17716562498,39.5,694.25
1992-08-11,131719.65160199997,39.0,692.72
1992-08-12,127814.91133125001,37.0,692.25
1992-08-13,128189.724289,37.0,694.28
1992-08-14,127862.91693175,37.0,692.51
1992-08-17,124178.66621874999,35.0,693.25
1992-08-18,127999.54825625001,37.0,693.25
1992-08-19,128080.78850325002,37.0,693.69
1992-08-20,127857.37782400001,37.0,692.48
1992-08-21,127872.148778,37.0,692.56
1992-08-24,130039.290238,38.0,693.94
1992-08-25,127318.238003,37.0,689.56
1992-08-26,127253.61507925003,37.0,689.21
1992-08-27,129197.897015,38.0,689.45
1992-08-28,131259.49229249996,39.0,690.3
1992-08-31,130568.839962,38.5,691.68
1992-09-01,131563.72985249996,39.0,691.9
1992-09-02,131751.97684274998,39.0,692.89
1992-09-03,131776.69614449996,39.0,693.02
1992-09-04,131312.59607675,38.5,695.62
1992-09-08,130742.01286300001,38.0,697.69
1992-09-09,127966.1207055,36.5,698.28
1992-09-10,128392.82490650001,37.0,695.38
1992-09-11,128422.36681450001,37.0,695.54
1992-09-14,128579.30820075,37.0,696.39
1992-09-15,129520.25379562497,37.5,696.29
1992-09-16,130582.729068,38.0,696.84
1992-09-17,130369.10139,38.0,695.7
1992-09-18,134388.67480499996,40.0,696.66
1992-09-21,136261.55461049997,41.0,696.42
1992-09-22,136797.66307899996,41.0,699.16
1992-09-23,138448.59276599996,42.0,697.77
1992-09-24,138573.59471999996,42.0,698.4
1992-09-25,139258.198124375,42.5,697.01
1992-09-28,140814.59094999998,42.5,704.8
1992-09-29,139089.4758,42.0,701.0
1992-09-30,140417.00151187496,42.5,702.81
1992-10-01,140759.7510275,43.0,699.7
1992-10-02,141439.710951,43.0,703.08
1992-10-05,144833.28251699999,44.0,710.22
1992-10-06,145612.39522499996,45.0,704.52
1992-10-07,146404.21205575,45.5,703.66
1992-10-08,147174.809419,46.0,702.71
1992-10-09,151338.013827,48.0,704.06
1992-10-12,150869.42184599998,48.0,701.88
1992-10-13,153770.75688149998,49.5,701.88
1992-10-14,153902.20734899997,49.5,702.48
1992-10-15,154568.22305099998,49.5,705.52
1992-10-16,155157.55931362498,49.5,708.21
1992-10-19,154920.948472125,49.5,707.13
1992-10-20,157893.09314625003,51.0,707.35
1992-10-21,157605.1422165,51.0,706.06
1992-10-22,159776.348444625,51.75,709.22
1992-10-23,158527.03162725002,51.0,710.19
1992-10-26,159921.09552649996,51.5,712.04
1992-10-27,161243.42660249997,52.0,713.55
1992-10-28,161885.19148449996,52.0,716.39
1992-10-29,162626.75675812498,52.5,715.31
1992-10-30,165072.01103112497,53.5,717.37
1992-11-02,163971.47850599998,53.0,716.88
1992-11-03,163971.47850599998,53.0,716.88
1992-11-04,164451.81008849997,53.0,718.98
1992-11-05,162522.43689549997,52.0,719.21
1992-11-06,162917.890608,52.0,720.96
1992-11-09,159299.22734,50.0,722.57
1992-11-10,160823.94253200002,51.0,720.48
1992-11-11,164231.857906875,52.5,722.37
1992-11-12,168527.6013135,54.5,723.72
1992-11-13,172278.045742,56.5,722.72
1992-11-16,177588.28637825,59.0,724.07
1992-11-17,173597.53836975,57.0,724.07
1992-11-18,175045.64301674996,57.0,730.11
1992-11-19,173813.31555225,57.0,724.97
1992-11-20,173796.53288249997,57.0,724.9
1992-11-23,174091.26301874997,57.5,721.98
1992-11-24,174292.82040224998,57.0,726.97
1992-11-25,174758.684166,58.0,720.63
1992-11-27,175238.85040199998,58.0,722.61
1992-11-30,179925.9276375,60.0,725.45
1992-12-01,185935.85954624997,62.5,729.42
1992-12-02,184000.340975,62.0,725.75
1992-12-03,187022.93011049996,63.0,729.74
1992-12-04,189188.55589425,63.0,738.19
1992-12-07,189716.135239125,63.5,736.29
1992-12-08,192674.15656637496,65.5,732.11
1992-12-09,192674.15656637496,65.5,732.11
1992-12-10,192750.47775499994,65.5,732.4
1992-12-11,192386.605224,66.0,727.21
1992-12-14,193071.80112,66.0,729.8
1992-12-15,193836.363336,66.0,732.69
1992-12-16,194764.94928,66.0,736.2
1992-12-17,194442.192912,66.0,734.98
1992-12-18,195815.39559449995,67.0,732.54
1992-12-21,201621.71706737494,69.5,735.31
1992-12-22,202035.75848224998,69.5,736.82
1992-12-23,196472.97862499996,67.0,735.0
1992-12-24,195510.758447125,66.5,735.19
1992-12-28,198549.78578049995,68.0,735.19
1992-12-29,195092.996736,66.0,737.44
1992-12-30,193202.14927749996,65.0,737.98
1992-12-31,195235.856112,66.0,737.98
1993-01-04,191168.44244299995,64.0,737.98
1993-01-05,184959.48846375,61.0,737.55
1993-01-06,183199.78833749998,60.0,738.65
1993-01-07,187633.444504,62.0,740.08
1993-01-08,184181.9465475,60.0,742.61
1993-01-11,183121.44165425,59.0,746.63
1993-01-12,187236.53023074998,61.0,746.63
1993-01-13,191087.57422562497,62.5,749.63
1993-01-14,189889.873074,62.0,748.98
1993-01-15,185198.8275225,60.0,746.71
1993-01-18,184091.019751375,59.5,746.39
1993-01-19,180172.56949999998,57.5,747.2
1993-01-20,178320.840267625,56.5,748.07
1993-01-21,178795.20559724997,56.5,750.06
1993-01-22,175680.65624999997,55.0,750.0
1993-01-25,162966.171786,49.0,748.56
1993-01-26,165769.855934375,50.5,747.25
1993-01-27,165743.235147875,50.5,747.13
1993-01-28,165539.14245137502,50.5,746.21
1993-01-29,165301.77377175,50.5,745.14
1993-02-01,167559.59400812496,51.5,746.05
1993-02-02,170465.10404274997,53.0,745.27
1993-02-03,170549.73389299997,53.0,745.64
1993-02-04,168515.25544149996,52.0,745.73
1993-02-05,168528.81385449995,52.0,745.79
1993-02-08,160473.40795199998,48.0,746.56
1993-02-09,164343.3979,50.0,745.45
1993-02-10,168461.02178949997,52.0,745.49
1993-02-11,173571.41362274997,54.5,745.38
1993-02-12,173201.78152199998,54.0,748.22
1993-02-16,175254.33785749995,55.0,748.18
1993-02-17,174575.05309887498,54.5,749.69
1993-02-18,176890.78594687497,55.5,750.75
1993-02-19,180406.50723974998,57.0,752.47
1993-02-22,182356.466072,58.0,751.96
1993-02-23,180418.49486099996,57.0,752.52
1993-02-24,182688.702306,58.0,753.33
1993-02-25,181029.86354474997,57.0,755.07
