ds,y
2024-06-26,226.35
2024-06-27,228.25
2024-06-28,228.95
2024-07-01,226.7
2024-07-02,229.1
2024-07-03,225.95
2024-07-05,230.3
2024-07-08,236.2
2024-07-09,252.0
2024-07-10,245.7
2024-07-11,246.75
2024-07-12,250.45
2024-07-15,244.15
2024-07-16,245.4
2024-07-17,247.35
2024-07-18,243.4
2024-07-19,238.2
2024-07-22,243.05
2024-07-23,239.1
2024-07-24,231.15
2024-07-25,234.7
2024-07-26,230.25
2024-07-29,230.4
2024-07-30,230.8
2024-07-31,229.2
2024-08-01,227.25
2024-08-02,230.5
2024-08-05,225.7
2024-08-06,235.95
2024-08-07,246.3
2024-08-08,245.3
2024-08-09,234.05
2024-08-12,240.85
2024-08-13,232.7
2024-08-14,237.0
2024-08-15,239.9
2024-08-16,245.45
2024-08-19,245.9
2024-08-20,249.45
2024-08-21,249.45
2024-08-22,246.8
2024-08-23,251.2
2024-08-26,253.65
2024-08-27,259.4
2024-08-28,260.45
2024-08-29,251.8
2024-08-30,248.2
2024-09-03,246.75
2024-09-04,245.55
2024-09-05,246.6
2024-09-06,240.05
2024-09-09,249.45
2024-09-10,248.0
2024-09-11,249.45
2024-09-12,252.0
2024-09-13,262.05
2024-09-16,259.05
2024-09-17,265.0
2024-09-18,263.15
2024-09-19,261.65
2024-09-20,250.75
2024-09-23,263.65
2024-09-24,267.8
2024-09-25,269.1
2024-09-26,273.9
2024-09-27,269.15
2024-09-30,270.25
2024-10-01,264.15
2024-10-02,256.5
2024-10-03,252.05
2024-10-04,257.35
2024-10-07,244.65
2024-10-08,248.2
2024-10-09,250.05
2024-10-10,254.75
2024-10-11,252.05
2024-10-14,262.05
2024-10-15,256.7
2024-10-16,258.0
2024-10-17,255.15
2024-10-18,257.3
2024-10-21,251.7
2024-10-22,249.85
2024-10-23,252.35
2024-10-24,245.45
2024-10-25,248.4
2024-10-28,252.35
2024-10-29,248.1
2024-10-30,249.6
2024-10-31,245.9
2024-11-01,242.95
2024-11-04,245.95
2024-11-05,250.15
2024-11-06,248.75
2024-11-07,260.4
2024-11-08,253.35
2024-11-11,256.2
2024-11-12,263.55
2024-11-13,271.65
2024-11-14,278.95
2024-11-15,281.8
2024-11-18,280.75
2024-11-19,279.75
2024-11-20,295.3
2024-11-21,298.65
2024-11-22,305.25
2024-11-25,308.35
2024-11-26,312.15
2024-11-27,326.15
2024-11-29,321.65
2024-12-02,299.2
2024-12-03,297.7
2024-12-04,305.95
2024-12-05,315.75
2024-12-06,332.5
2024-12-09,332.3
2024-12-10,335.65
2024-12-11,321.7
2024-12-12,322.6
2024-12-13,320.85
2024-12-16,328.75
2024-12-17,325.45
2024-12-18,333.15
2024-12-19,323.75
2024-12-20,325.0
2024-12-23,327.25
2024-12-24,328.6
2024-12-26,324.65
2024-12-27,322.65
2024-12-30,321.0
2024-12-31,319.75
2025-01-02,326.85
2025-01-03,318.65
2025-01-06,318.6
2025-01-07,320.5
2025-01-08,316.45
2025-01-09,318.5
2025-01-10,323.85
2025-01-13,325.95
2025-01-14,321.95
2025-01-15,330.45
2025-01-16,327.15
2025-01-17,328.35
2025-01-21,327.8
2025-01-22,341.85
2025-01-23,343.95
2025-01-24,347.55
2025-01-27,349.2
2025-01-28,357.5
2025-01-29,366.55
2025-01-30,373.4
2025-01-31,377.85
2025-02-03,380.9
2025-02-04,383.35
2025-02-05,397.75
2025-02-06,403.95
2025-02-07,404.35
2025-02-10,421.1
2025-02-11,404.4
2025-02-12,420.2
2025-02-13,425.1
2025-02-14,407.4
2025-02-18,405.25
2025-02-19,411.9
2025-02-20,389.9
2025-02-21,389.25
2025-02-24,384.8
2025-02-25,375.9
2025-02-26,375.2
2025-02-27,373.6
2025-02-28,373.05
2025-03-03,386.65
2025-03-04,398.4
2025-03-05,409.95
2025-03-06,387.15
2025-03-07,384.4
2025-03-10,384.0
2025-03-11,393.75
2025-03-12,386.75
2025-03-13,385.7
2025-03-14,382.1
2025-03-17,389.35
2025-03-18,387.15
2025-03-19,394.6
2025-03-20,392.15
2025-03-21,391.4
2025-03-24,393.4
2025-03-25,398.55
2025-03-26,392.0
2025-03-27,378.8
2025-03-28,379.95
2025-03-31,379.75
2025-04-01,389.05
2025-04-02,388.85
2025-04-03,385.25
2025-04-04,365.7
2025-04-07,344.8
2025-04-08,342.9
2025-04-09,341.7
2025-04-10,342.85
2025-04-11,357.7
2025-04-14,358.5
2025-04-15,367.15
2025-04-16,373.8
2025-04-17,372.6
2025-04-21,364.55
2025-04-22,372.75
2025-04-23,385.75
2025-04-24,398.8
2025-04-25,399.85
2025-04-28,410.05
2025-04-29,399.8
2025-04-30,400.75
2025-05-01,384.65
2025-05-02,385.4
2025-05-05,388.25
2025-05-06,389.85
2025-05-07,384.1
2025-05-08,387.35
2025-05-09,387.75
2025-05-12,372.95
2025-05-13,384.85
2025-05-14,373.95
2025-05-15,384.95
2025-05-16,376.25
2025-05-19,376.15
2025-05-20,369.3
2025-05-21,370.3
2025-05-22,360.75
2025-05-23,361.0
2025-05-27,361.7
2025-05-28,351.95
2025-05-29,348.4
2025-05-30,342.45
2025-06-02,344.45
2025-06-03,340.85
2025-06-04,346.15
2025-06-05,359.75
2025-06-06,358.05
2025-06-09,359.4
2025-06-10,353.05
2025-06-11,348.6
2025-06-12,345.3
2025-06-13,346.0
2025-06-16,340.25
2025-06-17,332.45
2025-06-18,322.3
2025-06-20,315.05
2025-06-23,326.55
2025-06-24,311.35
2025-06-25,304.5
2025-06-26,305.65
2025-06-27,303.75
2025-06-30,300.1
2025-07-01,291.95
2025-07-02,291.2
2025-07-03,289.6
2025-07-07,278.25
2025-07-08,285.6
2025-07-09,284.05
2025-07-10,287.8
2025-07-11,286.5
2025-07-14,301.85
2025-07-15,301.6
2025-07-16,314.55
2025-07-17,312.5
2025-07-18,308.9
2025-07-21,297.25
2025-07-22,296.35
2025-07-23,301.35
2025-07-24,304.85
2025-07-25,297.55
2025-07-28,301.7
2025-07-29,296.5
2025-07-30,293.4
2025-07-31,295.8
2025-08-01,284.2
2025-08-04,288.55
2025-08-05,298.7
2025-08-06,293.4
2025-08-07,297.8
2025-08-08,309.35
2025-08-11,314.05
2025-08-12,308.3
2025-08-13,312.65
2025-08-14,318.7
2025-08-15,334.2
2025-08-18,336.05
2025-08-19,349.05
2025-08-20,353.45
2025-08-21,365.0
2025-08-22,378.3
2025-08-25,377.75
2025-08-26,372.3
2025-08-27,385.3
2025-08-28,377.5
